destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length_1,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label_multiclass,attack_family,label_binary,source_file
21.0,8670843.0,9.0,15.0,100.0,188.0,21.0,0.0,11.11111111,8.681077762,34.0,0.0,12.53333333,14.54975045,33.21476355,2.767896962,376993.1739,980004.812,3140793.0,2.0,5798705.0,724838.125,1346020.711,3184764.0,225.0,8670702.0,619335.8571,1209831.887,3140793.0,2.0,0.0,0.0,296.0,488.0,1.037961361,1.729935601,0.0,34.0,11.52,12.44360612,154.8433333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,11.11111111,12.53333333,296.0,9.0,100.0,15.0,188.0,29200.0,227.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,BruteForce,1,Tuesday-WorkingHours.pcap_ISCX.csv
56697.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37735.84906,53.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,18867.92453,18867.92453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,1.0,0.0,122.0,33304.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
9.0,21.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,285714.2857,95238.09524,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,47619.04762,47619.04762,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,40.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
80.0,722561.0,3.0,6.0,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,4380.0,0.0,1934.5,2177.344966,16099.67878,12.45569578,90320.125,254978.3354,721359.0,3.0,857.0,428.5,548.0077554,816.0,41.0,722509.0,144501.8,322473.1803,721359.0,3.0,0.0,0.0,72.0,132.0,4.151898594,8.303797188,0.0,4380.0,1163.3,1903.962654,3625073.789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1292.555556,8.666666667,1934.5,72.0,3.0,26.0,6.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,10973.0,2.0,1.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1093.593366,273.3983414,5486.5,7566.749665,10837.0,136.0,10973.0,10973.0,0.0,10973.0,10973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,182.2655609,91.13278046,0.0,6.0,4.5,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,40.0,2.0,12.0,1.0,0.0,0.0,235.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
55555.0,80.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,75000.0,25000.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,12500.0,12500.0,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,40.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
53.0,190.0,2.0,2.0,74.0,138.0,37.0,37.0,37.0,0.0,69.0,69.0,69.0,0.0,1115789.474,21052.63158,63.33333333,25.69695183,93.0,48.0,48.0,48.0,0.0,48.0,48.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,40.0,40.0,10526.31579,10526.31579,37.0,69.0,49.8,17.52712184,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.25,37.0,69.0,40.0,2.0,74.0,2.0,138.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
53.0,31244.0,2.0,2.0,148.0,312.0,74.0,74.0,74.0,0.0,156.0,156.0,156.0,0.0,14722.82678,128.0245807,10414.66667,18033.53566,31238.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,64.0,40.0,64.01229036,64.01229036,74.0,156.0,106.8,44.91324972,2017.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.5,74.0,156.0,64.0,2.0,148.0,2.0,312.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
443.0,85058571.0,18.0,15.0,3020.0,1243.0,1232.0,0.0,167.7777778,397.6289366,578.0,0.0,82.86666667,186.3479337,50.11840606,0.387967957,2658080.344,4142447.3,10000000.0,19.0,85100000.0,5003445.353,4661109.207,10100000.0,151.0,84900000.0,6067152.643,4485196.617,10100000.0,428.0,0.0,0.0,584.0,488.0,0.211618886,0.176349071,0.0,1232.0,125.3823529,313.7840422,98460.42513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,129.1818182,167.7777778,82.86666667,584.0,18.0,3020.0,15.0,1243.0,29200.0,134.0,4.0,32.0,1520127.571,2394708.826,5085662.0,117817.0,10000000.0,8216.001049,10000000.0,10000000.0,BENIGN,BENIGN,0,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
80.0,84426135.0,6.0,6.0,352.0,11595.0,352.0,0.0,58.66666667,143.7033982,5792.0,0.0,1932.5,2181.008184,141.5083137,0.142136081,7675103.182,25400000.0,84300000.0,3.0,84300000.0,16900000.0,37700000.0,84300000.0,3.0,151479.0,30295.8,60079.46383,137227.0,10.0,0.0,0.0,200.0,200.0,0.071068041,0.071068041,0.0,5792.0,919.0,1716.001457,2944661.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,995.5833333,58.66666667,1932.5,200.0,6.0,352.0,6.0,11595.0,251.0,235.0,1.0,32.0,985.0,0.0,985.0,985.0,84300000.0,0.0,84300000.0,84300000.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
80.0,11025.0,3.0,1.0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1632.653061,362.8117914,3675.0,6338.456516,10994.0,1.0,11025.0,5512.5,7794.438049,11024.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,32.0,272.1088435,90.70294785,0.0,6.0,4.8,2.683281573,7.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,60.0,3.0,18.0,1.0,0.0,0.0,235.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
6543.0,44.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,181818.1818,45454.54545,44.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,22727.27273,22727.27273,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,24.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
80.0,68944.0,4.0,0.0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,348.1086099,58.01810165,22981.33333,37202.42823,65935.0,997.0,68944.0,22981.33333,37202.42823,65935.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,58.01810165,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,71455120.0,8.0,6.0,56.0,11607.0,20.0,0.0,7.0,5.656854249,5840.0,0.0,1934.5,2538.919278,163.2213339,0.195927178,5496547.692,17200000.0,62200000.0,1.0,70200000.0,10000000.0,23200000.0,62200000.0,1.0,1245348.0,249069.6,556439.1402,1244458.0,3.0,0.0,0.0,172.0,132.0,0.111958387,0.08396879,0.0,5840.0,777.9333333,1804.898987,3257660.352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,833.5,7.0,1934.5,172.0,8.0,56.0,6.0,11607.0,256.0,229.0,6.0,20.0,1042.0,0.0,1042.0,1042.0,35100000.0,38400000.0,62200000.0,7959777.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
22.0,12498341.0,21.0,32.0,2008.0,2745.0,640.0,0.0,95.61904762,140.0451628,976.0,0.0,85.78125,220.240592,380.2904722,4.240562807,240352.7115,654847.5153,2620252.0,3.0,10800000.0,537613.7,951210.0537,2664654.0,392.0,12500000.0,403169.5161,813182.3009,2620252.0,3.0,0.0,0.0,680.0,1032.0,1.680222999,2.560339808,0.0,976.0,88.01851852,189.5902723,35944.47135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,89.67924528,95.61904762,85.78125,680.0,21.0,2008.0,32.0,2745.0,29200.0,247.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator,BruteForce,1,Tuesday-WorkingHours.pcap_ISCX.csv
21.0,236.0,2.0,1.0,14.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,59322.0339,12711.86441,118.0,16.97056275,130.0,106.0,236.0,236.0,0.0,236.0,236.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,20.0,8474.576271,4237.288136,0.0,14.0,7.0,8.082903769,65.33333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.333333333,7.0,0.0,64.0,2.0,14.0,1.0,0.0,229.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,BruteForce,1,Tuesday-WorkingHours.pcap_ISCX.csv
37.0,65.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,92307.69231,30769.23077,65.0,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,15384.61538,15384.61538,0.0,6.0,2.0,3.464101615,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,40.0,1.0,0.0,1.0,6.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
80.0,82127656.0,8.0,6.0,56.0,11607.0,20.0,0.0,7.0,5.656854249,4380.0,0.0,1934.5,2177.344966,142.0106279,0.170466329,6317512.0,19400000.0,70200000.0,3.0,80400000.0,11500000.0,26200000.0,70200000.0,3.0,1762638.0,352527.6,787692.1255,1761594.0,22.0,0.0,0.0,172.0,132.0,0.097409331,0.073056998,0.0,4380.0,777.9333333,1627.46176,2648631.781,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,833.5,7.0,1934.5,172.0,8.0,56.0,6.0,11607.0,256.0,229.0,6.0,20.0,2003.0,0.0,2003.0,2003.0,40200000.0,42500000.0,70200000.0,10100000.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,106793487.0,14.0,3.0,3586.0,6.0,326.0,0.0,256.1428571,138.8157922,6.0,0.0,2.0,3.464101615,33.63500997,0.159185738,6674592.937,13900000.0,53400000.0,16.0,107000000.0,8214873.077,15000000.0,53400000.0,553.0,107000000.0,53400000.0,31000000.0,75300000.0,31500000.0,0.0,0.0,456.0,100.0,0.131094137,0.028091601,0.0,326.0,199.5555556,163.1074068,26604.02614,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.2941176,256.1428571,2.0,456.0,14.0,3586.0,3.0,6.0,29200.0,0.0,11.0,32.0,5732546.0,1320871.225,6666543.0,4798549.0,23800000.0,20700000.0,53400000.0,6671929.0,DoS GoldenEye,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
80.0,1989.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.826043,497.25,991.1671151,1984.0,1.0,1989.0,497.25,991.1671151,1984.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,2513.826043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,5.0,0.0,0.0,0.0,274.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
53.0,432.0,2.0,2.0,58.0,122.0,29.0,29.0,29.0,0.0,61.0,61.0,61.0,0.0,416666.666666667,9259.2592592593,144.0,245.0897794687,427.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,64.0,64.0,4629.6296296296,4629.6296296296,29.0,61.0,41.8,17.5271218402,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.25,29.0,61.0,64.0,2.0,58.0,2.0,122.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
443.0,5080353.0,6.0,6.0,2048.0,956.0,1480.0,0.0,341.3333333333,593.504731798,765.0,0.0,159.3333333333,303.1380323659,591.2974944851,2.3620405905,461850.272727273,1504279.20236126,4997311.0,0.0,59346.0,11869.2,11649.1361782752,23637.0,180.0,5057003.0,1011400.6,2228245.7180599,4997311.0,0.0,0.0,0.0,200.0,200.0,1.1810202952,1.1810202952,0.0,1480.0,231.0769230769,445.1517459508,198160.076923077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,250.3333333333,341.3333333333,159.3333333333,200.0,6.0,2048.0,6.0,956.0,29200.0,65.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
51427.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.0740740741,27.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,37037.037037037,37037.037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,1.0,0.0,184.0,341.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
80.0,5370881.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.585675795,0.930945966,1342720.25,2684768.542,5369873.0,0.0,5370881.0,1342720.25,2684768.542,5369873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.930945966,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,1008.0,0.0,1008.0,1008.0,5369873.0,0.0,5369873.0,5369873.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,1211998.0,3.0,5.0,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,10135.0,0.0,2321.4,4413.201989,9598.200657,6.600670958,173142.5714,457691.8437,1211090.0,1.0,646.0,323.0,455.3767671,645.0,1.0,1211953.0,302988.25,605401.2288,1211090.0,5.0,0.0,0.0,72.0,112.0,2.475251609,4.125419349,0.0,10135.0,1292.555556,3350.634907,11200000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1454.125,8.666666667,2321.4,72.0,3.0,26.0,5.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
